node,name
7513,Nurpura
7515,Dholpur Junction
7517,Gher
7528,Garhi Sandra
7531,Tulsigam
7532,Muval Tank
7535,Wejpur
7538,Wasanapura
7541,Desar Road
7545,Bhavnagar Terminus
7552,Gunda Bihar
7555,Jhimri
7556,Haslang P.H.
7562,Latemda
7568,Tiraldih
7570,Suisa
7571,Torang
7578,Kita
7585,Bhurkunda
7588,Pathardih Bazar
7593,Purulia Junction
7596,Barabhum
7597,Urma Railway Station
7599,Haludpukur
7610,Birarajpur
7612,Kandra Jn
7613,Kuarmunda
7616,Bisra
7621,Bhalulata
7645,Bikna
7647,Matigara Station
7648,Rainagar
7649,Betur
7651,Beliatore
7652,Sudamdih
7653,Rajabera
7666,Midnapore
7671,Madhukunda Railway Station
7679,Salboni
7680,Chandrakona Road
7686,Dokra Halt
7697,Jamadoba
7698,Rakhitpur
7699,Sindri Block Hut
7700,Sindri Marshalling Yard
7707,Karkend
7708,Tata Sijua Halt
7711,Loyabad
7712,Bansjora
7714,Angarpathra Halt
7715,Budora
7716,Jamuni
7717,Phulwartanr
7718,Tentulla
7719,Tundu
7720,Jamuniatand
7721,Khario P.H.
7722,Kharkhari
7723,Garh Jaipur
7724,Gourinathdham
7725,Tulin
7727,Kustaur
7728,Chas Road
7731,Barlanga
